PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout09,Turnout14,Margin,Margin %,TurnoutDiff,UnionTerritory
Palghar,22,ST,Maharashtra,Adv. Chintaman Navasha Wanga,Bharatiya Janta Party,1578077,992618,48.1,62.9,239520,24.10%,14.8,No
Pali,15,GEN,Rajasthan,P P Choudhary,Bharatiya Janta Party,1893030,1095587,43.1,57.9,399039,36.40%,14.8,No
Panchmahal,18,GEN,Gujarat,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,1576667,933461,42.6,59.2,170596,18.30%,16.6,No
Parbhani,17,GEN,Maharashtra,Jadhav Sanjay (BANDU) HARIBHAU,Shiv Sena,1803792,1162233,54.1,64.4,127155,10.90%,10.3,No
Paschim Champaran,2,GEN,Bihar,Dr. Sanjay Jaiswal,Bharatiya Janta Party,1413073,854800,42.2,60.5,110254,12.90%,18.3,No
Pataliputra,31,GEN,Bihar,Ram Kripal Yadav,Bharatiya Janta Party,1736074,978649,41.2,56.4,40322,4.10%,15.2,No
Patan,3,GEN,Gujarat,Liladharbhai Khodaji Vaghela,Bharatiya Janta Party,1628641,955799,44.7,58.7,138719,14.50%,14,No
Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,1323906,869452,65.8,65.7,56191,6.50%,-0.1,No
Patiala,13,GEN,Punjab,Dr. Dharam Vira Gandhi,Aam Aadmi Party,1580273,1120933,69.6,70.9,20942,1.90%,1.3,No
Patna Sahib,30,GEN,Bihar,Shatrughana Sinha,Bharatiya Janta Party,1946249,882262,33.7,45.3,265805,30.10%,11.6,No
Peddapalli,2,SC,Telangana,Balka Suman,Telangana Rashtra Samithi,1425361,1022184,68.7,71.7,291158,28.50%,3,No
Perambalur,25,GEN,TamilNadu,Marutharajaa R.P.,All India Anna Dravida Munnetra Kazhagam,1285434,1030826,79.6,80.2,213048,20.70%,0.6,No
Phulpur,51,GEN,UttarPradesh,Keshav Prasad Maurya,Bharatiya Janta Party,1913274,960341,38.7,50.2,308308,32.10%,11.5,No
Pilibhit,26,GEN,UttarPradesh,Maneka Sanjay Gandhi,Bharatiya Janta Party,1671151,1050547,63.9,62.9,307052,29.20%,-1,No
Pollachi,21,GEN,TamilNadu,Mahendran.C,All India Anna Dravida Munnetra Kazhagam,1381505,1012667,76,73.3,140974,13.90%,-2.7,No
Pondicherry,1,GEN,Pondicherry,R. Radhakrishnan,All India N.R. Congress,901357,740017,79.8,82.1,60854,8.20%,2.3,Yes
Ponnani,7,GEN,Kerala,E. T. Mohammed Basheer,Indian Union Muslim League,1180789,871592,77.3,73.8,25410,2.90%,-3.5,No
Porbandar,11,GEN,Gujarat,Radadiya Vithalbhai Hansrajbhai,Bharatiya Janta Party,1539223,809433,47.7,52.6,267971,33.10%,4.9,No
Pratapgarh,39,GEN,UttarPradesh,Kuwar Harivansh Singh,Apna Dal,1716625,894456,44.7,52.1,168222,18.80%,7.4,No
Pune,34,GEN,Maharashtra,Anil Shirole,Bharatiya Janta Party,1835836,993274,40.7,54.1,315769,31.80%,13.4,No
Puri,17,GEN,Orissa,Pinaki Misra,Biju Janata Dal,1404581,1039389,68.8,74,263361,25.30%,5.2,No
Purnia,12,GEN,Bihar,Santosh Kumar,Janata Dal (United),1582967,1017732,54,64.3,116669,11.50%,10.3,No
Purulia,35,GEN,WestBengal,Dr. Mriganka Mahato,All India Trinamool Congress,1471933,1204675,72,81.8,153877,12.80%,9.8,No
Purvi Champaran,3,GEN,Bihar,Radha Mohan Singh,Bharatiya Janta Party,1452963,822671,40.6,56.6,192163,23.40%,16,No
Rae Bareli,36,GEN,UttarPradesh,Sonia Gandhi,Indian National Congress,1594954,825136,48.3,51.7,352713,42.70%,3.4,No
Raichur,6,ST,Karnataka,B.V.Nayak,Indian National Congress,1661606,968889,45.9,58.3,1499,0.20%,12.4,No
Raigad,32,GEN,Maharashtra,Anant Geete,Shiv Sena,1532781,987766,56.6,64.4,2110,0.20%,7.8,No
Raiganj,5,GEN,WestBengal,Md. Salim,Communist Party Of India (MARXIST),1387526,1108193,81.2,79.9,1634,0.10%,-1.3,No
Raigarh,2,ST,Chhattisgarh,Vishnu Deo Sai,Bharatiya Janta Party,1605824,1246186,65.3,77.6,216750,17.40%,12.3,No
Raipur,8,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,1904230,1250845,47,65.7,171646,13.70%,18.7,No
Rajahmundry,25,GEN,AndhraPradesh,Murali Mohan Maganti,Telugu Desam,1421288,1154381,81,81.2,167434,14.50%,0.2,No
Rajampet,41,GEN,AndhraPradesh,P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1487498,1158317,76.1,77.9,174762,15.10%,1.8,No
Rajgarh,20,GEN,MadhyaPradesh,Rodmal Nagar,Bharatiya Janta Party,1578748,1010724,51.7,64,228737,22.60%,12.3,No
Rajkot,10,GEN,Gujarat,Kundariya Mohanbhai Kalyanjibhai,Bharatiya Janta Party,1655717,1057069,44.7,63.8,246428,23.30%,19.1,No
Rajmahal,1,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1353172,951563,55.2,70.3,41337,4.30%,15.1,No
Rajnandgaon,6,GEN,Chhattisgarh,Abhishek Singh,Bharatiya Janta Party,1588095,1178296,58.9,74.2,235911,20.00%,15.3,No
Rajsamand,22,GEN,Rajasthan,Hariom Singh Rathore,Bharatiya Janta Party,1699401,982119,39.7,57.8,395705,40.30%,18.1,No
Ramanathapuram,35,GEN,TamilNadu,Anwhar Raajhaa.A,All India Anna Dravida Munnetra Kazhagam,1455891,1001048,68.8,68.8,119324,11.90%,0,No
Rampur,7,GEN,UttarPradesh,Dr. Nepal Singh,Bharatiya Janta Party,1616984,956389,52.5,59.2,23435,2.50%,6.7,No
