PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout09,Turnout14,Margin,Margin %,TurnoutDiff,UnionTerritory
Tiruvannamalai,11,GEN,TamilNadu,Vanaroja R,All India Anna Dravida Munnetra Kazhagam,1352966,1067447,80,78.9,168606,15.80%,-1.1,No
Tonk-Sawai Madhopur,12,GEN,Rajasthan,Sukhbir Singh Jaunapuria,Bharatiya Janta Party,1710775,1043040,53.1,61,135311,13.00%,7.9,No
Tripura East,2,ST,Tripura,Jitendra Choudhury,Communist Party Of India (MARXIST),1140269,951110,83.4,83.4,484358,50.90%,0,No
Tripura West,1,GEN,Tripura,Sankar Prasad Datta,Communist Party Of India (MARXIST),1248550,1072749,86.1,85.9,503486,46.90%,-0.2,No
Tumkur,19,GEN,Karnataka,Muddahanumegowda.S.P.,Indian National Congress,1518518,1101484,64.8,72.5,74041,6.70%,7.7,No
Tura,2,ST,Meghalaya,Purno Agitok Sangma,National People's Party,586501,458071,67.7,78.1,39716,8.70%,10.4,No
Udaipur,19,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,1817940,1193202,48.5,65.6,236762,19.80%,17.1,No
Udhampur,5,GEN,Jammu&Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,1490244,1041758,44.9,69.9,60976,5.90%,25,No
Udupi Chikmagalur,15,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,1387295,1034108,68.3,74.5,181643,17.60%,6.2,No
Ujiarpur,22,GEN,Bihar,Nityanand Rai,Bharatiya Janta Party,1428445,858920,45.9,60.1,60469,7.00%,14.2,No
Ujjain,22,SC,MadhyaPradesh,Prof. Chintamani Malviya,Bharatiya Janta Party,1525481,1016405,53.3,66.6,309663,30.50%,13.3,No
Uluberia,26,GEN,WestBengal,Sultan Ahmed,All India Trinamool Congress,1448632,1186027,80.7,81.9,201222,17.00%,1.2,No
Unnao,33,GEN,UttarPradesh,Swami Sachchidanand Hari Sakshi,Bharatiya Janta Party,2164392,1201603,49.7,55.5,310173,25.80%,5.8,No
Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1450599,1001038,59.1,69,140700,14.10%,9.9,No
Vadakara,3,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,1182504,959342,80.9,81.1,3306,0.30%,0.2,No
Vadodara,20,GEN,Gujarat,Narendra Modi,Bharatiya Janta Party,1638321,1161577,49,70.9,570128,49.10%,21.9,No
Vaishali,16,GEN,Bihar,Rama Kishore Singh,Lok Jan Shakti Party,1587202,925937,48.9,58.3,99267,10.70%,9.4,No
Valmiki Nagar,1,GEN,Bihar,Satish Chandra Dubey,Bharatiya Janta Party,1456576,900114,46.9,61.8,117793,13.10%,14.9,No
Valsad,26,ST,Gujarat,Dr. K.C.Patel,Bharatiya Janta Party,1512061,1122203,56.1,74.2,208004,18.50%,18.1,No
Varanasi,77,GEN,UttarPradesh,Narendra Modi,Bharatiya Janta Party,1767486,1030685,42.6,58.3,371784,36.10%,15.7,No
Vellore,8,GEN,TamilNadu,Senguttuvan B.,All India Anna Dravida Munnetra Kazhagam,1312251,974770,71.6,74.3,59393,6.10%,2.7,No
Vidisha,18,GEN,MadhyaPradesh,Sushma Swaraj,Bharatiya Janta Party,1634370,1073473,45.1,65.7,410698,38.30%,20.6,No
Vijayawada,29,GEN,AndhraPradesh,Kesineni Srinivas,Telugu Desam,1564513,1195075,77.9,76.4,74862,6.30%,-1.5,No
Viluppuram,13,SC,TamilNadu,Rajendran S,All India Anna Dravida Munnetra Kazhagam,1387007,1067641,74.6,77,193367,18.10%,2.4,No
Virudhunagar,34,GEN,TamilNadu,Radhakrishnan T,All India Anna Dravida Munnetra Kazhagam,1350495,1010930,77.5,74.9,145551,14.40%,-2.6,No
Visakhapatnam,21,GEN,AndhraPradesh,Kambhampati Hari Babu,Bharatiya Janta Party,1723037,1163558,73.1,67.5,90488,7.80%,-5.6,No
Vizianagaram,20,GEN,AndhraPradesh,Ashok Gajapathi Raju Pusapati,Telugu Desam,1404127,1120316,77.4,79.8,106911,9.50%,2.4,No
Warangal,15,SC,Telangana,Kadiyam Srihari,Telangana Rashtra Samithi,1537781,1174631,69.4,76.4,392574,33.40%,7,No
Wardha,8,GEN,Maharashtra,Ramdas Chandrabhanji Tadas,Bharatiya Janta Party,1564553,1013445,54.7,64.8,215783,21.30%,10.1,No
Wayanad,4,GEN,Kerala,M I Shanavas,Indian National Congress,1249420,915006,74.9,73.2,20870,2.30%,-1.7,No
West Delhi,6,GEN,Delhi,Parvesh Sahib Singh Verma,Bharatiya Janta Party,2039410,1347971,52.4,66.1,268586,19.90%,13.7,Yes
Yavatmal-Washim,14,GEN,Maharashtra,Gawali Bhavana Pundlikrao,Shiv Sena,1743498,1032949,54.1,59.3,93816,9.10%,5.2,No
Zahirabad,5,GEN,Telangana,B.B. Patil,Telangana Rashtra Samithi,1445246,1094806,75.1,75.8,144631,13.20%,0.7,No
